               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12366,            0.052696,            0.029141,           0.0042866,               0.325,           0.0040704,           0.0012369,             0.12259,            0.030659,            0.031573,              0.0946,              0.0006,              0.0006
                   1,             0.11872,            0.065353,             0.02948,           0.0061951,             0.47976,           0.0093177,           0.0020901,             0.11697,            0.029793,            0.030786,            0.088294,           0.0012936,           0.0012936
                   2,             0.11233,            0.061152,            0.027388,           0.0071069,                0.55,            0.010965,           0.0025921,             0.10415,            0.030336,            0.027692,             0.08198,           0.0019802,           0.0019802
                   3,             0.10063,            0.075941,            0.026013,            0.028709,               0.125,            0.020859,           0.0041686,            0.090412,            0.032412,            0.022922,             0.07566,           0.0026599,           0.0026599
                   4,            0.096451,            0.074518,            0.027272,            0.056269,            0.071429,            0.053124,            0.011258,            0.085087,             0.03377,            0.020757,            0.069333,           0.0033327,           0.0033327
                   5,            0.082696,            0.091208,            0.021459,             0.61015,             0.17857,             0.10961,            0.019152,            0.080225,            0.033094,            0.018523,            0.062999,           0.0039985,           0.0039985
                   6,            0.081201,            0.074169,            0.023217,             0.70691,             0.14286,             0.15468,            0.034182,            0.078327,            0.033836,            0.017537,            0.056657,           0.0046574,           0.0046574
                   7,            0.078197,            0.071563,            0.017636,            0.035274,             0.40833,            0.034816,           0.0090929,            0.082396,            0.035784,            0.015991,            0.050309,           0.0053094,           0.0053094
                   8,            0.077828,            0.081985,            0.016509,             0.63224,             0.21429,             0.14846,            0.028214,            0.072195,            0.037958,            0.014623,            0.043954,           0.0059545,           0.0059545
                   9,             0.07377,            0.088536,            0.016363,               0.671,             0.19643,               0.138,            0.037403,             0.06922,            0.039862,            0.013996,            0.037593,           0.0065926,           0.0065926
                  10,            0.071747,            0.079114,            0.014218,             0.58043,             0.10714,              0.1046,            0.030349,            0.082047,            0.043093,            0.011697,            0.031224,           0.0072238,           0.0072238
                  11,            0.077049,            0.066706,             0.01653,             0.66385,             0.16071,             0.26676,            0.094371,            0.077556,            0.036614,            0.012167,            0.024848,           0.0078481,           0.0078481
                  12,            0.078147,            0.069727,            0.011208,            0.076393,             0.44286,             0.12377,            0.036124,             0.08635,            0.036698,            0.010763,            0.018465,           0.0084654,           0.0084654
                  13,            0.079685,            0.071297,            0.012368,            0.076393,             0.44286,             0.12377,            0.036124,             0.08635,            0.036698,            0.010763,            0.012076,           0.0090758,           0.0090758
                  14,            0.078865,            0.070029,            0.011009,             0.17247,             0.46933,              0.1811,            0.049259,            0.087535,             0.03666,             0.01067,            0.009307,            0.009307,            0.009307
                  15,            0.072381,            0.070865,            0.011716,             0.18521,             0.44578,             0.22864,            0.098189,            0.071597,             0.03611,            0.010657,            0.009307,            0.009307,            0.009307
