                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2112,                 1.7762,                 1.2817,                0.49389,                0.24976,                0.32721,                0.21778,                 1.1408,                 2.1552,                 1.2055,             0.00065079,             0.00065079,             0.00065079
                      2,                  1.201,                 1.2182,                   1.23,                0.61523,                 0.4966,                0.50819,                0.32085,                 1.1945,                 1.6162,                 1.3518,              0.0013044,              0.0013044,              0.0013044
                      3,                 1.1373,                 1.1425,                  1.259,                0.74861,                0.50437,                0.59484,                0.35664,                 1.5328,                 1.8433,                 1.6334,              0.0019448,              0.0019448,              0.0019448
                      4,                  1.204,                 1.1305,                 1.2916,                0.77699,                0.62391,                 0.7442,                0.44046,                 1.3637,                 1.2938,                  1.506,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1945,                 1.0614,                  1.261,                 0.8263,                0.77357,                0.84249,                0.49928,                 1.2561,                 1.0218,                 1.3997,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1582,                0.98743,                  1.226,                0.73989,                0.72983,                0.77676,                0.47228,                 1.1892,                 1.3396,                 1.2705,               0.001901,               0.001901,               0.001901
                      7,                 1.1365,                0.97743,                 1.2334,                0.83129,                0.66083,                0.76246,                0.48346,                  1.136,                 1.0639,                 1.2569,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1335,                0.94079,                 1.2357,                0.75648,                0.78791,                0.85084,                0.53881,                  1.114,                0.95138,                  1.228,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1224,                0.93307,                 1.2201,                0.80967,                0.68902,                0.82521,                0.52409,                 1.1631,                0.91336,                 1.2289,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0825,                0.87836,                 1.2114,                0.76596,                0.75024,                0.81823,                0.52971,                 1.0521,                 1.0795,                 1.1931,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0869,                 0.8513,                 1.2046,                0.78928,                0.74987,                0.83407,                 0.5249,                 1.1622,                 0.9065,                 1.2746,               0.001802,               0.001802,               0.001802
                     12,                 1.0818,                0.86128,                 1.2231,                0.82967,                0.80949,                  0.864,                0.55093,                 1.0445,                0.70631,                 1.1781,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0597,                0.77602,                 1.1725,                0.80161,                0.77357,                0.86469,                0.56177,                 1.0175,                0.74102,                  1.166,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0868,                0.82581,                 1.2106,                0.77948,                0.77357,                   0.87,                 0.5731,                 1.0088,                0.72358,                 1.1545,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0641,                0.79609,                 1.1728,                 0.8614,                0.80935,                0.89387,                0.58835,                 1.0083,                0.70599,                 1.1541,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0647,                0.76233,                 1.1493,                0.81988,                0.80272,                0.87898,                0.59109,                0.99517,                0.72997,                 1.1494,               0.001703,               0.001703,               0.001703
                     17,                 1.0309,                0.74403,                 1.1389,                0.80843,                0.83254,                 0.8889,                0.58562,                0.99656,                0.66854,                 1.1475,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0265,                0.71697,                 1.1439,                0.82569,                0.83479,                0.90584,                0.59321,                 1.0044,                0.71421,                  1.139,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0301,                0.73367,                 1.1732,                0.83376,                0.81924,                0.88306,                0.57973,                0.97586,                0.62894,                 1.1204,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0083,                0.70972,                  1.143,                0.86677,                0.85354,                0.90445,                0.59567,                0.98222,                0.65454,                 1.1344,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0063,                0.71657,                 1.1631,                 0.8163,                0.79892,                 0.8793,                0.58213,                0.99907,                0.64797,                 1.1452,               0.001604,               0.001604,               0.001604
                     22,                 1.0134,                0.69856,                   1.13,                0.86859,                0.82866,                0.90409,                0.59561,                0.98019,                0.64046,                 1.1371,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.018,                 0.6956,                 1.1519,                0.85169,                0.85423,                0.90547,                0.59113,                 1.0192,                 0.6497,                 1.1671,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0141,                0.68743,                  1.148,                0.86014,                0.82604,                0.90543,                0.59268,                 0.9979,                0.62845,                 1.1291,              0.0015446,              0.0015446,              0.0015446
                     25,                0.96539,                0.65934,                 1.1467,                0.85439,                 0.8105,                0.90116,                0.59974,                 1.0012,                0.69829,                 1.1346,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0262,                0.68674,                 1.1451,                0.81383,                0.82414,                0.90057,                0.60677,                0.95084,                0.64958,                  1.095,               0.001505,               0.001505,               0.001505
                     27,                0.98334,                 0.6614,                 1.1352,                0.89012,                0.83451,                0.91044,                0.61744,                0.92295,                 0.6057,                 1.0854,              0.0014852,              0.0014852,              0.0014852
                     28,                0.99149,                0.66296,                 1.1327,                0.86027,                0.84359,                0.90762,                0.61109,                0.93127,                 0.6164,                 1.0976,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0015,                 0.6481,                 1.1201,                0.86913,                0.81324,                0.89572,                0.59563,                0.96818,                0.57757,                 1.1088,              0.0014456,              0.0014456,              0.0014456
                     30,                0.98689,                0.66481,                 1.1283,                0.83779,                0.83479,                0.89557,                0.59824,                0.96752,                0.61791,                  1.114,              0.0014258,              0.0014258,              0.0014258
                     31,                0.97495,                0.66594,                 1.1374,                0.83156,                0.81341,                0.89198,                0.61126,                0.92745,                0.58599,                 1.0848,               0.001406,               0.001406,               0.001406
                     32,                0.92909,                0.60989,                 1.1143,                0.86739,                0.83868,                 0.9015,                0.61171,                0.93057,                0.63785,                 1.0997,              0.0013862,              0.0013862,              0.0013862
                     33,                0.94393,                0.62559,                 1.1063,                0.85641,                0.85326,                 0.9087,                0.62036,                0.93312,                0.58113,                 1.0883,              0.0013664,              0.0013664,              0.0013664
                     34,                0.95148,                0.64165,                 1.1298,                0.87359,                 0.8552,                 0.9147,                0.61951,                0.95707,                0.57751,                 1.1199,              0.0013466,              0.0013466,              0.0013466
                     35,                0.96858,                0.65132,                 1.1347,                0.85849,                0.87269,                0.91957,                0.62623,                0.93124,                0.57707,                  1.083,              0.0013268,              0.0013268,              0.0013268
                     36,                0.97175,                0.62724,                 1.1282,                0.88054,                0.86006,                0.92373,                0.63591,                0.92073,                0.58127,                 1.0912,               0.001307,               0.001307,               0.001307
                     37,                0.93434,                0.60954,                 1.1166,                0.87353,                0.86588,                0.92428,                0.64044,                0.90739,                0.54553,                 1.0554,              0.0012872,              0.0012872,              0.0012872
                     38,                0.95245,                0.59659,                 1.1089,                0.87821,                0.86589,                0.93231,                0.64199,                 0.9355,                0.54864,                 1.0914,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95617,                0.59242,                 1.1058,                0.85524,                0.85551,                0.91498,                0.63186,                0.94048,                0.55805,                 1.0971,              0.0012476,              0.0012476,              0.0012476
                     40,                0.92591,                0.58213,                 1.0916,                0.87402,                0.86978,                0.92841,                0.64204,                0.92652,                0.55066,                 1.0837,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.9261,                0.58337,                 1.0923,                0.88883,                0.87024,                0.93294,                0.64358,                0.89717,                0.52584,                 1.0869,               0.001208,               0.001208,               0.001208
                     42,                0.93555,                0.59351,                 1.1102,                0.88157,                0.85363,                0.92105,                0.63228,                0.94037,                0.55754,                 1.0919,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91949,                0.57216,                 1.1035,                0.87391,                0.88907,                0.92407,                0.64082,                0.90743,                0.57132,                  1.088,              0.0011684,              0.0011684,              0.0011684
                     44,                0.93157,                0.57856,                 1.0923,                0.88158,                0.86096,                0.91998,                0.63737,                0.91507,                0.55237,                 1.0855,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92276,                0.57208,                 1.1079,                0.88518,                0.86907,                0.93624,                0.65378,                 0.9014,                0.53288,                 1.0628,              0.0011288,              0.0011288,              0.0011288
                     46,                0.91814,                 0.5638,                 1.0964,                0.89475,                0.86743,                0.92797,                0.64902,                0.89834,                0.54557,                 1.0708,               0.001109,               0.001109,               0.001109
                     47,                0.92587,                 0.5565,                 1.0819,                0.89572,                0.87646,                0.93668,                0.65107,                0.91024,                 0.5456,                 1.0732,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91271,                0.56774,                 1.0977,                0.86827,                0.86473,                0.91718,                0.64147,                0.88948,                0.57157,                 1.0705,              0.0010694,              0.0010694,              0.0010694
                     49,                0.90001,                0.56448,                 1.0812,                0.88122,                0.86522,                0.92338,                0.64213,                0.90645,                0.52075,                 1.0735,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.8908,                0.53226,                 1.0735,                0.88187,                0.86686,                0.92201,                0.64627,                0.90069,                0.51448,                 1.0735,              0.0010298,              0.0010298,              0.0010298
                     51,                0.85617,                0.53026,                 1.0851,                 0.8645,                0.88663,                0.92795,                0.64635,                0.92174,                 0.5506,                 1.0895,                0.00101,                0.00101,                0.00101
                     52,                0.91211,                0.55058,                 1.0762,                 0.8876,                0.88251,                0.92833,                0.64216,                0.88618,                0.53848,                  1.061,              0.0009902,              0.0009902,              0.0009902
                     53,                0.90493,                0.55726,                 1.0856,                0.85616,                0.88435,                0.92673,                0.65022,                0.89123,                0.50648,                 1.0558,              0.0009704,              0.0009704,              0.0009704
                     54,                0.90118,                0.54983,                 1.0711,                0.88693,                0.88431,                0.93563,                0.66486,                0.88468,                0.50981,                 1.0573,              0.0009506,              0.0009506,              0.0009506
                     55,                0.87548,                0.52817,                 1.0724,                0.89599,                  0.862,                0.92598,                0.64795,                0.89324,                0.53477,                 1.0822,              0.0009308,              0.0009308,              0.0009308
                     56,                0.86661,                0.54041,                 1.0862,                0.88214,                0.87075,                0.92756,                0.64794,                0.89851,                0.53612,                 1.0714,               0.000911,               0.000911,               0.000911
                     57,                0.87744,                0.52596,                 1.0816,                0.89092,                0.88533,                 0.9384,                0.66838,                 0.8579,                0.51083,                 1.0403,              0.0008912,              0.0008912,              0.0008912
                     58,                0.86751,                0.52742,                 1.0706,                0.88953,                0.88423,                0.94266,                0.67115,                0.88042,                0.51887,                 1.0659,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88172,                0.53522,                 1.0662,                0.89011,                0.87366,                0.93145,                0.64888,                0.87499,                0.50857,                 1.0537,              0.0008516,              0.0008516,              0.0008516
                     60,                0.84783,                0.49789,                 1.0569,                0.88697,                0.88435,                0.93714,                0.66507,                  0.875,                0.49896,                 1.0524,              0.0008318,              0.0008318,              0.0008318
                     61,                0.90073,                0.53126,                 1.0645,                0.89283,                0.86686,                0.93683,                 0.6593,                0.87119,                0.50217,                 1.0511,               0.000812,               0.000812,               0.000812
                     62,                0.84831,                0.50716,                  1.053,                0.88465,                0.88144,                0.93555,                0.66023,                0.87036,                0.50744,                 1.0464,              0.0007922,              0.0007922,              0.0007922
                     63,                0.86603,                0.51307,                 1.0756,                0.89771,                0.87561,                0.93552,                0.66173,                0.85761,                0.49051,                 1.0389,              0.0007724,              0.0007724,              0.0007724
                     64,                0.85125,                0.49214,                 1.0574,                0.89102,                  0.874,                0.93624,                 0.6623,                0.85767,                0.50775,                 1.0544,              0.0007526,              0.0007526,              0.0007526
                     65,                0.85644,                0.49456,                 1.0517,                0.90393,                0.86492,                0.93251,                0.65743,                0.86274,                 0.4943,                 1.0535,              0.0007328,              0.0007328,              0.0007328
                     66,                0.85469,                0.49925,                 1.0551,                0.87011,                0.83868,                0.92004,                0.65969,                0.87208,                0.49216,                 1.0437,               0.000713,               0.000713,               0.000713
                     67,                0.83606,                0.49004,                 1.0456,                0.90201,                0.87561,                0.93841,                0.67026,                0.86058,                0.49027,                 1.0417,              0.0006932,              0.0006932,              0.0006932
                     68,                0.83905,                0.49033,                 1.0554,                 0.8844,                0.88047,                0.93386,                 0.6553,                0.86491,                0.50486,                  1.043,              0.0006734,              0.0006734,              0.0006734
                     69,                0.86221,                 0.4826,                 1.0423,                0.90607,                0.86492,                0.93713,                0.66142,                0.85669,                0.49703,                 1.0426,              0.0006536,              0.0006536,              0.0006536
                     70,                0.84967,                 0.4824,                 1.0512,                0.91139,                0.87949,                0.94628,                0.67425,                0.86392,                0.48402,                 1.0587,              0.0006338,              0.0006338,              0.0006338
                     71,                0.82692,                0.48639,                 1.0423,                 0.8986,                0.86006,                0.93281,                0.66801,                 0.8539,                0.50665,                 1.0462,               0.000614,               0.000614,               0.000614
                     72,                0.82149,                0.48485,                 1.0588,                0.90607,                0.87183,                0.94046,                0.67797,                0.84312,                0.50434,                  1.032,              0.0005942,              0.0005942,              0.0005942
                     73,                0.84053,                0.48419,                 1.0464,                0.89808,                0.88338,                0.94301,                0.67623,                0.86707,                0.49971,                 1.0434,              0.0005744,              0.0005744,              0.0005744
                     74,                0.83329,                0.47566,                 1.0381,                0.89246,                0.88241,                0.93968,                0.67307,                0.84858,                0.49366,                 1.0326,              0.0005546,              0.0005546,              0.0005546
